issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
114,83,treating,| behandeln                                                  | (to) treat   **treating**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'treating' is redundant when the infinitive '(to) treat' is already provided as the English equivalent.
115,83,"getting, receiving","| bekommen                                                   | (to) get, receive   **getting, receiving**                                                                                                                                                                                                             |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
116,83,using,| benutzen                                                   | (to) use   **using**                                                                                                                                                                                                                                   |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'using' is redundant when the infinitive '(to) use' is already provided as the English equivalent.
117,83,deciding,| beschließen                                                | (to) decide   **deciding**                                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'deciding' is redundant when the infinitive '(to) decide' is already provided as the English equivalent.
118,83,describing,| beschreiben                                                | (to) describe   **describing**                                                                                                                                                                                                                         |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'describing' is redundant when the infinitive '(to) describe' is already provided as the English equivalent.
119,83,"viewing, sightseeing","| besichtigen                                                | (to) view, sightsee   **viewing, sightseeing**                                                                                                                                                                                                         |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
120,83,"existing, passing (an exam)","| bestehen                                                   | (to) exist, pass (an exam)   **existing, passing (an exam)**                                                                                                                                                                                          |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
121,83,"consisting of, being made of/from","| bestehen aus                                               | (to) consist of, to be made of/from   **consisting of, being made of/from**                                                                                                                                                                            |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
122,83,"ordering, reserving","| bestellen                                                  | (to) order, reserve   **ordering, reserving**                                                                                                                                                                                                          |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
123,83,visiting,| besuchen                                                   | (to) visit   **visiting**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'visiting' is redundant when the infinitive '(to) visit' is already provided as the English equivalent.
124,83,moving; (to) exercise exercising,| bewegen; sichacc. bewegen                                  | (to) move   **moving; (to) exercise   exercising**                                                                                                                                                                                                   |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
125,83,"paying, settling up","| bezahlen                                                   | (to) pay, to settle up   **paying, settling up**                                                                                                                                                                                                       |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
126,83,"forming, educating","| bilden                                                     | (to) form, educate   **forming, educating**                                                                                                                                                                                                            |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
127,83,staying,| bleiben                                                    | (to) stay   **staying**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'staying' is redundant when the infinitive '(to) stay' is already provided as the English equivalent.
128,83,needing,| brauchen                                                   | (to) need   **needing**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'needing' is redundant when the infinitive '(to) need' is already provided as the English equivalent.
129,83,bringing,| bringen                                                    | (to) bring   **bringing**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'bringing' is redundant when the infinitive '(to) bring' is already provided as the English equivalent.
130,83,strolling,| bummeln                                                    | (to) stroll   **strolling**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'strolling' is redundant when the infinitive '(to) stroll' is already provided as the English equivalent.
131,83,chatting,| chatten                                                    | (to) chat   **chatting**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'chatting' is redundant when the infinitive '(to) chat' is already provided as the English equivalent.
132,83,lasting,| dauern                                                     | (to) last   **lasting**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'lasting' is redundant when the infinitive '(to) last' is already provided as the English equivalent.
133,83,thinking (of + noun),| denken (an + acc. + noun)                                  | (to) think (of + noun)   **thinking (of + noun)**                                                                                                                                                                                                      |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'thinking (of + noun)' is redundant when the infinitive '(to) think (of + noun)' is already provided as the English equivalent.
134,83,discussing (+ noun),| diskutieren (überacc. + noun)                              | (to) discuss (+ noun)   **discussing (+ noun)**                                                                                                                                                                                                        |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'discussing (+ noun)' is redundant when the infinitive '(to) discuss (+ noun)' is already provided as the English equivalent.
135,83,shooting (a film),| drehen (einen Film)                                        | (to) shoot (a film)   **shooting (a film)**                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'shooting (a film)' is redundant when the infinitive '(to) shoot (a film)' is already provided as the English equivalent.
136,83,being allowed to,"| dürfen                                                     | (to) be allowed to, may   **being allowed to**                                                                                                                                                                                                         |",ErrorCategory.STYLISTIC_PREFERENCE,80,"The present participle 'being allowed to' is redundant when the infinitive '(to) be allowed to, may' is already provided as the English equivalent."
137,83,no entering,| Einfahrt verboten                                          | no entry   **no entering**                                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The gerund 'no entering' is redundant when 'no entry' is already provided as the English equivalent.
138,83,entering data (into a computer or phone),| eingeben                                                   | (to) enter data   **entering data (into a computer or phone)**                                                                                                                                                                                         |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'entering data (into a computer or phone)' is redundant when the infinitive '(to) enter data' is already provided as the English equivalent.
139,83,shopping,| einkaufen                                                  | (to) shop   **shopping**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'shopping' is redundant when the infinitive '(to) shop' is already provided as the English equivalent.
140,83,inviting,| einladen                                                   | (to) invite   **inviting**                                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'inviting' is redundant when the infinitive '(to) invite' is already provided as the English equivalent.
141,83,falling asleep,| einschlafen                                                | (to) fall asleep   **falling asleep**                                                                                                                                                                                                                  |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'falling asleep' is redundant when the infinitive '(to) fall asleep' is already provided as the English equivalent.
142,83,getting on,| einsteigen                                                 | (to) get on   **getting on**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'getting on' is redundant when the infinitive '(to) get on' is already provided as the English equivalent.
143,83,receiving,| empfangen                                                  | (to) receive   **receiving**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'receiving' is redundant when the infinitive '(to) receive' is already provided as the English equivalent.
144,83,recommending,| empfehlen                                                  | (to) recommend   **recommending**                                                                                                                                                                                                                      |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'recommending' is redundant when the infinitive '(to) recommend' is already provided as the English equivalent.
145,83,discovering,| entdecken                                                  | (to) discover   **discovering**                                                                                                                                                                                                                        |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'discovering' is redundant when the infinitive '(to) discover' is already provided as the English equivalent.
146,83,containing,| enthalten                                                  | (to) contain   **containing**                                                                                                                                                                                                                          |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'containing' is redundant when the infinitive '(to) contain' is already provided as the English equivalent.
147,83,deciding; (to) decide (on +<br>noun) deciding (on + noun),| entscheiden; sichacc. entscheiden (für +<br>noun)          | (to) decide   **deciding; (to) decide (on +<br>noun)   deciding (on + noun)**                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
148,83,disappointing,| enttäuschen                                                | (to) disappoint   **disappointing**                                                                                                                                                                                                                    |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'disappointing' is redundant when the infinitive '(to) disappoint' is already provided as the English equivalent.
149,83,entwicklen,| **entwicklen**                                                 | (to) develop   developing                                                                                                                                                                                                                              |,ErrorCategory.SPELLING_ERROR,95,The correct German spelling is 'entwickeln' (Duden).
150,83,"experiencing,<br>finding out","| erfahren                                                   | (to) experience, find out   **experiencing,<br>finding out**                                                                                                                                                                                           |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
151,83,reminding<br>(about + noun); (to) remember (+ noun)  <br>remembering (+ noun),| erinnern (anacc. + noun); sich erinnern<br>(anacc. + noun) | (to) remind (about + noun)   **reminding<br>(about + noun); (to) remember (+ noun)  <br>remembering (+ noun)**                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
152,83,explaining,| erklären                                                   | (to) explain   **explaining**                                                                                                                                                                                                                          |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'explaining' is redundant when the infinitive '(to) explain' is already provided as the English equivalent.
153,83,"allowing, permitting","| erlauben                                                   | (to) allow, permit   **allowing, permitting**                                                                                                                                                                                                         |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
154,83,experiencing,| erleben                                                    | (to) experience   **experiencing**                                                                                                                                                                                                                     |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'experiencing' is redundant when the infinitive '(to) experience' is already provided as the English equivalent.
155,83,"achieving, reaching","| erreichen                                                  | (to) achieve, reach   **achieving, reaching**                                                                                                                                                                                                          |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
156,83,telling (about +<br>noun),| erzählen (von + noun)                                      | (to) tell (about + noun)   **telling (about +<br>noun)**                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'telling (about + noun)' is redundant when the infinitive '(to) tell (about + noun)' is already provided as the English equivalent.
157,83,"lacking,<br>being missing, being absent","| fehlen                                                     | (to) lack, be missing, be absent   **lacking,<br>being missing, being absent**                                                                                                                                                                            |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
158,83,celebrating,| feiern                                                     | (to) celebrate   **celebrating**                                                                                                                                                                                                                       |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'celebrating' is redundant when the infinitive '(to) celebrate' is already provided as the English equivalent.
159,83,"finding; (to) be found<br>  being<br>found, (to) find oneself   finding oneself","| finden; sichacc. finden                                    | (to) find   **finding; (to) be found<br>  being<br>found, (to) find oneself   finding oneself**                                                                                                                            |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
160,83,flying,| fliegen                                                    | (to) fly   **flying**                                                                                                                                                                                                                                  |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'flying' is redundant when the infinitive '(to) fly' is already provided as the English equivalent.
161,83,following,| folgen                                                     | (to) follow   **following**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'following' is redundant when the infinitive '(to) follow' is already provided as the English equivalent.
162,83,"promoting,<br>supporting","| fördern                                                    | (to) promote, support   **promoting,<br>supporting**                                                                                                                                                                                                   |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
163,83,taking photos,| fotografieren                                              | (to) take photos   **taking photos**                                                                                                                                                                                                                  |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'taking photos' is redundant when the infinitive '(to) take photos' is already provided as the English equivalent.
164,83,asking,| fragen                                                     | (to) ask   **asking**                                                                                                                                                                                                                                  |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'asking' is redundant when the infinitive '(to) ask' is already provided as the English equivalent.
165,83,asking (about +<br>noun); (to) wonder wondering,| fragen (nach + noun); sich fragen                          | (to) ask (about + noun)  <br>**asking (about +<br>noun); (to) wonder   wondering**                                                                                                                                         |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
166,83,"pleasing,<br>making happy; (to) be happy, pleased  <br>being happy, pleased; (to) look foward to<br>+ noun   looking forward to + noun","| freuen; sichacc. freuen; sichacc. freuen auf<br>+ noun     | (to) please, make happy   **pleasing,<br>making happy; (to) be happy, pleased  <br>being happy, pleased; (to) look foward to<br>+ noun   looking forward to + noun**                                                       |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
167,83,foward,"| freuen; sichacc. freuen; sichacc. freuen auf<br>+ noun     | (to) please, make happy   pleasing,<br>making happy; (to) be happy, pleased  <br>being happy, pleased; (to) look **foward** to<br>+ noun   looking forward to + noun                                                       |",ErrorCategory.SPELLING_ERROR,95,The correct spelling is 'forward' (Oxford English Dictionary).
168,83,freezing,| frieren                                                    | (to) freeze   **freezing**                                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'freezing' is redundant when the infinitive '(to) freeze' is already provided as the English equivalent.
169,83,feeling,| fühlen                                                     | (to) feel   **feeling**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'feeling' is redundant when the infinitive '(to) feel' is already provided as the English equivalent.
170,83,"leading, guiding","| führen                                                     | (to) lead, guide   **leading, guiding**                                                                                                                                                                                                                |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
171,83,"functioning, working","| funktionieren                                              | (to) function, work   **functioning, working**                                                                                                                                                                                                         |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
172,83,giving,| geben                                                      | (to) give   **giving**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'giving' is redundant when the infinitive '(to) give' is already provided as the English equivalent.
173,83,"liking, pleasing","| gefallen                                                   | (to) like, to please   **liking, pleasing**                                                                                                                                                                                                            |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
174,83,going,| gehen                                                      | (to) go   **going**                                                                                                                                                                                                                                    |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'going' is redundant when the infinitive '(to) go' is already provided as the English equivalent.
175,83,belonging,| gehören                                                    | (to) belong   **belonging**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'belonging' is redundant when the infinitive '(to) belong' is already provided as the English equivalent.
176,83,enjoying,| genießen                                                   | (to) enjoy   **enjoying**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'enjoying' is redundant when the infinitive '(to) enjoy' is already provided as the English equivalent.
177,83,"winning, gaining","| gewinnen                                                   | (to) win, gain   **winning, gaining**                                                                                                                                                                                                                  |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
178,83,believing (in + noun),| glauben (anacc. + noun)                                    | (to) believe (in + noun)   **believing (in + noun)**                                                                                                                                                                                                   |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'believing (in + noun)' is redundant when the infinitive '(to) believe (in + noun)' is already provided as the English equivalent.
179,83,"grilling, barbecueing","| grillen                                                    | (to) grill, barbecue   **grilling, barbecueing**                                                                                                                                                                                                       |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
180,83,barbecueing,"| grillen                                                    | (to) grill, barbecue   grilling, **barbecueing**                                                                                                                                                                                                       |",ErrorCategory.SPELLING_ERROR,95,The correct British English spelling is 'barbecuing' (Oxford English Dictionary).
181,83,"looking, watching","| gucken                                                     | (to) look, watch   **looking, watching**                                                                                                                                                                                                               |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
182,83,having,| haben                                                      | (to) have   **having**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'having' is redundant when the infinitive '(to) have' is already provided as the English equivalent.
183,83,"stopping, holding; (to) think of someone as thinking of someone as","| halten; halten (für + noun)                                | (to) stop, hold   **stopping, holding; (to) think of someone as   thinking of someone as**                                                                                                                                 |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
184,83,"dealing, trading; to be about + noun being about + noun","| handeln; sich handeln um + noun                            | (to) deal, trade   **dealing, trading; to be about + noun   being about + noun**                                                                                                                                           |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
185,83,marrying,| heiraten                                                   | (to) marry   **marrying**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'marrying' is redundant when the infinitive '(to) marry' is already provided as the English equivalent.
186,83,being called,| heißen                                                     | (to) be called   **being called**                                                                                                                                                                                                                      |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'being called' is redundant when the infinitive '(to) be called' is already provided as the English equivalent.
187,83,helping,| helfen                                                     | (to) help   **helping**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'helping' is redundant when the infinitive '(to) help' is already provided as the English equivalent.
188,83,downloading,| herunterladen                                              | (to) download   **downloading**                                                                                                                                                                                                                        |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'downloading' is redundant when the infinitive '(to) download' is already provided as the English equivalent.
189,83,uploading,| hochladen                                                  | (to) upload   **uploading**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'uploading' is redundant when the infinitive '(to) upload' is already provided as the English equivalent.
190,83,hoping (for + noun),| hoffen (aufacc. + noun)                                    | (to) hope (for + noun)   **hoping (for + noun)**                                                                                                                                                                                                       |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'hoping (for + noun)' is redundant when the infinitive '(to) hope (for + noun)' is already provided as the English equivalent.
191,83,"hearing, listening","| hören                                                      | (to) hear, listen   **hearing, listening**                                                                                                                                                                                                             |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
192,83,coughing,| husten                                                     | (to) cough   **coughing**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'coughing' is redundant when the infinitive '(to) cough' is already provided as the English equivalent.
193,83,interesting; (to) be interested (in + noun) being interested (in + noun),| interessieren; sichacc. interessieren (für + noun)         | (to) interest   **interesting; (to) be interested (in + noun)   being interested (in + noun)**                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
194,83,buying,| kaufen                                                     | (to) buy   **buying**                                                                                                                                                                                                                                  |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'buying' is redundant when the infinitive '(to) buy' is already provided as the English equivalent.
195,83,knowing,| kennen                                                     | (to) know   **knowing**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'knowing' is redundant when the infinitive '(to) know' is already provided as the English equivalent.
196,83,"meeting (for first time), getting to know","| kennenlernen                                               | (to) meet (for first time), get to know   **meeting (for first time), getting to know**                                                                                                                                    |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
197,83,climbing,| klettern                                                   | (to) climb   **climbing**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'climbing' is redundant when the infinitive '(to) climb' is already provided as the English equivalent.
198,83,coming,| kommen                                                     | (to) come   **coming**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'coming' is redundant when the infinitive '(to) come' is already provided as the English equivalent.
199,83,"coming from + noun, descending from + noun","| kommen aus                                                 | (to) come from + noun, descend from + noun   **coming from + noun, descending from + noun**                                                                                                                                |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
200,83,being able to,"| können                                                     | (to) be able to, can   **being able to**                                                                                                                                                                                                              |",ErrorCategory.STYLISTIC_PREFERENCE,80,"The present participle 'being able to' is redundant when the infinitive '(to) be able to, can' is already provided as the English equivalent."
201,83,concentrating (on + noun),| konzentrieren (aufacc. + noun)                             | (to) concentrate (on + noun)   **concentrating (on + noun)**                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'concentrating (on + noun)' is redundant when the infinitive '(to) concentrate (on + noun)' is already provided as the English equivalent.
202,83,costing,| kosten                                                     | (to) cost   **costing**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'costing' is redundant when the infinitive '(to) cost' is already provided as the English equivalent.
203,83,"getting, receiving","| kriegen                                                    | (to) get, receive   **getting, receiving**                                                                                                                                                                                                             |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
204,83,smiling,| lächeln                                                    | (to) smile   **smiling**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'smiling' is redundant when the infinitive '(to) smile' is already provided as the English equivalent.
205,83,laughing,| lachen                                                     | (to) laugh   **laughing**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'laughing' is redundant when the infinitive '(to) laugh' is already provided as the English equivalent.
206,83,landing (plane),| landen                                                     | (to) land (plane)   **landing (plane)**                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'landing (plane)' is redundant when the infinitive '(to) land (plane)' is already provided as the English equivalent.
207,83,"letting, allowing","| lassen                                                    | (to) let, allow   **letting, allowing**                                                                                                                                                                                                                |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
208,83,running/ walking / being on in the cinema,| laufen                                                     | (to) run / walk / be on in the cinema   **running/ walking / being on in the cinema**                                                                                                                                      |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
209,83,living,| leben                                                      | (to) live   **living**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'living' is redundant when the infinitive '(to) live' is already provided as the English equivalent.
210,83,"tolerating, standing;<br>(to) suffer (from + noun) (as a result of + noun)   suffering (from + noun) (as a result of + noun)","| leiden; leiden (andat. + noun) (unterdat. + noun)          | (to) tolerate, stand   **tolerating, standing;<br>(to) suffer (from + noun) (as a result of + noun)   suffering (from + noun) (as a result of + noun)**                                                                    |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
211,83,"performing,<br>achieving, doing; (to) afford   affording","| leisten; sichdat. leisten                                  | (to) perform, achieve, do   **performing,<br>achieving, doing; (to) afford   affording**                                                                                                                                   |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
212,83,loving,| lieben                                                     | (to) love   **loving**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'loving' is redundant when the infinitive '(to) love' is already provided as the English equivalent.
213,83,"lying, being situated (in)","| liegen                                                     | (to) lie, to be situated (in)   **lying, being situated (in)**                                                                                                                                                                                            |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
214,83,deleting,| löschen                                                    | (to) delete   **deleting**                                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'deleting' is redundant when the infinitive '(to) delete' is already provided as the English equivalent.
215,83,"doing, making","| machen                                                     | (to) do, make   **doing, making**                                                                                                                                                                                                                      |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
216,83,painting,| malen                                                      | (to) paint   **painting**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'painting' is redundant when the infinitive '(to) paint' is already provided as the English equivalent.
217,83,"thinking,<br>having an opinion","| meinen                                                     | (to) think, have an opinion   **thinking,<br>having an opinion**                                                                                                                                                                                          |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
218,83,"reporting, registering;<br>(to) volunteer, enlist, get in touch   volunteering, enlisting, getting in touch","| melden; sichacc. melden                                    | (to) report, register   **reporting, registering;<br>(to) volunteer, enlist, get in touch   volunteering, enlisting, getting in touch**                                                                                    |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
219,83,"hiring, renting","| mieten                                                     | (to) hire, rent   **hiring, renting**                                                                                                                                                                                                                  |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
220,83,abusing,| missbrauchen                                               | (to) abuse   **abusing**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'abusing' is redundant when the infinitive '(to) abuse' is already provided as the English equivalent.
221,83,"traveling<br>with, accompanying","| mitfahren                                                  | (to) travel with, accompany   **traveling<br>with, accompanying**                                                                                                                                                          |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
222,83,traveling,"| mitfahren                                                  | (to) travel with, accompany   **traveling**<br>with, accompanying                                                                                                                                                          |",ErrorCategory.SPELLING_ERROR,95,The British English spelling is 'travelling' (Oxford English Dictionary).
223,83,liking,| mögen                                                      | (to) like   **liking**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'liking' is redundant when the infinitive '(to) like' is already provided as the English equivalent.
224,83,making music,| musizieren                                                 | (to) make music   **making music**                                                                                                                                                                                                                     |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'making music' is redundant when the infinitive '(to) make music' is already provided as the English equivalent.
225,83,having to,"| müssen                                                     | (to) have to, must   **having to**                                                                                                                                                                                                                     |",ErrorCategory.STYLISTIC_PREFERENCE,80,"The present participle 'having to' is redundant when the infinitive '(to) have to, must' is already provided as the English equivalent."
226,83,taking,| nehmen                                                     | (to) take   **taking**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'taking' is redundant when the infinitive '(to) take' is already provided as the English equivalent.
227,83,"taking place,<br>happening","| passieren                                                  | (to) take place, happen   **taking place,<br>happening**                                                                                                                                                                                               |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
228,83,planning,| planen                                                     | (to) plan   **planning**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'planning' is redundant when the infinitive '(to) plan' is already provided as the English equivalent.
229,83,chatting,| plaudern                                                   | (to) chat   **chatting**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'chatting' is redundant when the infinitive '(to) chat' is already provided as the English equivalent.
